Candidate_ID,Education_Level,Experience_Years,Skills_Score,Certifications,Previous_Companies,Job_Match_Score,Suitability
131,Bachelor's,3,0.64,0,6,0.99,1
132,Master's,4,0.78,2,11,0.71,1
133,PhD,24,0.94,4,10,0.63,1
134,PhD,38,0.86,7,9,0.98,0
135,Bachelor's,16,0.62,7,14,0.69,1
136,PhD,26,0.75,1,15,0.84,1
137,Master's,18,0.57,5,10,0.7,0
138,Bachelor's,39,0.67,2,1,0.82,1
139,PhD,35,0.57,6,11,0.9,1
140,Bachelor's,17,0.64,8,2,0.69,0
141,Master's,11,0.9,10,10,0.94,1
142,Master's,31,0.64,8,13,0.87,1
143,PhD,18,0.83,6,8,0.67,0
144,PhD,34,0.52,3,1,0.94,1
145,Master's,18,0.99,8,12,0.89,0
146,Bachelor's,20,0.55,5,4,0.8,0
147,PhD,23,0.82,6,8,0.92,1
148,PhD,35,0.76,0,3,0.9,1
149,Master's,14,0.52,4,6,0.7,0
150,Bachelor's,0,0.58,6,12,0.83,1
151,Master's,20,0.92,2,1,0.64,0
152,Bachelor's,6,0.55,7,5,0.8,0
153,Bachelor's,33,0.98,10,7,0.95,1
154,Master's,21,0.68,4,13,0.7,0
155,PhD,26,0.53,7,11,0.77,0
156,Bachelor's,40,0.6,10,1,0.67,0
157,Master's,17,0.61,0,0,0.97,0
158,Bachelor's,12,0.63,4,10,0.99,1
159,Bachelor's,37,0.81,4,10,0.76,0
160,PhD,1,0.59,5,4,0.75,0
161,Bachelor's,9,0.76,4,2,0.82,1
162,Bachelor's,37,0.64,4,10,0.77,1
163,PhD,19,0.57,6,5,0.7,0
164,PhD,10,0.68,9,7,0.66,1
165,PhD,32,0.59,7,1,0.74,0
166,Bachelor's,23,0.97,9,13,0.95,0
167,PhD,20,0.89,9,1,0.61,1
168,Master's,37,0.59,2,6,0.91,0
169,Bachelor's,18,0.69,5,0,0.84,1
170,Bachelor's,39,0.62,5,8,0.97,0
171,PhD,7,0.64,4,7,0.71,1
172,Bachelor's,28,0.51,0,13,0.85,0
173,PhD,0,0.66,5,3,0.79,0
174,PhD,12,0.73,0,11,0.98,0
175,PhD,25,0.73,10,9,0.65,1
176,Bachelor's,15,0.85,5,12,0.99,1
177,PhD,33,0.74,1,1,0.89,0
178,PhD,29,0.74,8,2,0.62,1
179,Bachelor's,30,0.63,3,10,0.62,0
180,PhD,25,0.59,4,7,0.76,0
181,Bachelor's,15,0.7,4,15,0.96,0
182,Master's,31,0.8,0,5,0.72,0
183,Master's,13,0.69,1,4,0.94,0
184,Master's,22,0.91,5,3,0.74,0
185,Master's,17,0.57,8,4,0.66,1
186,PhD,36,0.52,10,0,0.91,1
187,PhD,32,0.86,7,9,0.79,1
188,Master's,36,0.93,2,0,0.92,0
189,Master's,11,0.58,10,15,0.79,0
190,PhD,26,0.6,0,0,0.68,1
191,Bachelor's,7,1.0,0,6,0.91,0
192,Master's,18,0.65,10,2,0.97,0
193,Master's,1,0.68,2,11,0.9,0
194,Bachelor's,29,0.75,10,4,0.65,1
195,PhD,4,0.56,3,0,0.83,0
196,Bachelor's,3,0.9,9,9,0.66,1
197,Master's,1,0.7,2,10,0.77,0
198,PhD,25,0.79,2,5,0.73,0
199,PhD,10,0.67,6,9,0.98,1
200,Master's,3,0.74,7,15,0.71,1
201,PhD,30,0.8,10,0,0.63,1
202,Bachelor's,6,0.59,9,13,0.72,0
203,Bachelor's,31,0.6,9,8,0.64,0
204,Bachelor's,20,0.55,8,1,0.87,1
205,Bachelor's,31,0.88,9,10,0.92,0
206,Master's,31,0.97,8,8,0.98,1
207,Master's,34,0.53,8,0,0.95,0
208,Bachelor's,30,0.74,0,6,0.78,1
209,Master's,23,0.67,7,10,0.98,0
210,Master's,6,0.74,8,3,0.83,0
211,Bachelor's,13,0.88,3,7,0.83,0
212,Master's,0,0.85,9,13,0.66,0
213,Bachelor's,16,0.69,3,0,0.62,0
214,Bachelor's,2,0.93,9,0,0.66,1
215,Bachelor's,0,0.67,3,11,0.81,1
216,Master's,32,0.91,6,6,0.92,1
217,PhD,37,0.5,2,14,0.62,1
218,Bachelor's,15,0.94,9,5,0.69,0
219,Bachelor's,36,0.63,1,9,0.88,0
220,PhD,7,0.84,4,4,0.65,0
221,PhD,38,0.52,9,1,1.0,1
222,Bachelor's,30,0.57,8,7,0.97,0
223,PhD,22,0.63,2,14,0.91,0
224,PhD,40,0.64,9,12,0.85,1
225,PhD,24,0.82,8,2,0.82,1
226,Bachelor's,13,0.91,5,10,0.7,0
227,Bachelor's,17,0.56,8,15,0.77,0
228,PhD,35,0.55,0,0,0.67,0
229,Master's,5,0.63,0,13,0.66,0
230,PhD,24,0.95,1,7,0.9,1
231,PhD,31,0.62,8,11,0.77,0
232,Master's,27,0.79,3,8,0.73,1
233,Bachelor's,27,0.78,2,8,0.84,0
234,Master's,26,0.81,9,9,0.62,1
235,Bachelor's,6,0.95,3,12,0.79,1
236,PhD,33,0.92,6,1,0.92,1
237,Master's,1,0.54,4,0,0.9,1
238,PhD,28,0.8,10,7,0.87,0
239,Master's,23,0.6,7,9,0.6,0
240,Master's,25,0.99,3,9,0.76,0
241,Master's,24,0.88,4,12,0.96,1
242,Bachelor's,12,0.67,10,11,0.71,1
243,Master's,10,0.98,0,13,0.62,0
244,PhD,22,0.74,6,3,0.82,1
245,Master's,16,0.77,1,2,0.9,0
246,PhD,24,0.54,2,0,0.86,1
247,Bachelor's,30,0.82,1,0,0.77,0
248,PhD,36,0.65,8,1,0.78,0
249,Bachelor's,28,0.84,9,0,0.88,1
250,Bachelor's,14,0.92,5,10,0.86,0
251,Master's,24,0.93,9,9,0.7,1
252,PhD,32,0.69,9,7,0.61,0
253,Master's,7,0.93,3,6,0.69,1
254,Bachelor's,0,0.84,6,4,0.79,1
255,PhD,16,0.58,3,5,0.85,0
256,PhD,24,0.76,0,2,0.97,0
257,PhD,10,0.65,5,15,0.88,1
258,Bachelor's,4,0.81,1,0,0.93,0
259,Bachelor's,14,0.84,3,9,0.96,1
260,Bachelor's,32,0.71,10,15,0.62,0
261,Bachelor's,31,0.97,3,10,0.81,0
262,PhD,40,0.89,4,6,0.85,1
263,Master's,35,0.72,2,2,0.95,1
264,Bachelor's,37,0.76,1,0,0.8,1
265,PhD,18,0.66,5,5,0.61,1
266,Bachelor's,9,0.93,1,12,0.92,0
267,Master's,38,0.74,3,5,0.93,1
268,Bachelor's,11,0.96,3,7,0.93,0
269,Bachelor's,38,0.76,8,1,0.85,0
270,PhD,31,0.83,0,14,0.99,0
271,Bachelor's,18,0.63,6,15,0.84,0
272,Master's,34,0.83,10,0,0.71,0
273,Bachelor's,10,0.6,2,15,0.63,0
274,Master's,23,0.58,7,1,0.73,1
275,PhD,14,0.65,4,9,0.82,1
276,PhD,15,0.69,8,14,0.89,1
277,Bachelor's,1,0.54,2,2,0.73,1
278,Bachelor's,35,0.79,3,11,0.84,0
279,Bachelor's,23,0.56,6,7,0.8,0
280,PhD,11,0.98,2,7,0.68,0
281,PhD,29,0.8,7,11,0.62,1
282,Bachelor's,11,0.55,7,8,0.87,1
283,PhD,6,0.6,10,7,0.71,0
284,Master's,0,0.98,0,8,0.83,1
285,Bachelor's,14,0.69,2,5,0.87,0
286,PhD,1,0.77,7,12,0.95,1
287,Master's,26,0.58,5,4,0.92,1
288,PhD,34,0.64,4,3,0.81,0
289,Bachelor's,14,0.7,0,15,0.64,0
290,Bachelor's,13,0.96,0,11,0.98,0
291,Bachelor's,23,0.55,8,6,0.65,1
292,PhD,23,0.73,6,13,0.98,1
293,Master's,21,0.55,5,0,0.92,1
294,Master's,17,0.9,2,12,0.67,0
295,Master's,2,0.95,5,3,0.72,0
296,Bachelor's,26,0.53,2,9,0.97,0
297,Master's,15,0.6,8,7,0.92,1
298,PhD,15,0.92,4,2,0.91,0
299,Bachelor's,20,0.53,1,12,0.65,1
300,Master's,21,0.97,3,1,0.86,1
301,Master's,10,0.62,0,13,0.71,1
302,Master's,16,0.85,7,10,0.89,0
303,Bachelor's,7,0.61,1,7,0.82,1
304,PhD,2,0.74,5,10,0.88,1
305,Bachelor's,5,0.58,10,10,0.87,0
306,Master's,23,0.59,4,9,0.82,0
307,Master's,17,0.97,0,13,0.85,0
308,Master's,23,0.67,9,2,0.71,1
309,PhD,17,0.63,3,1,0.66,1
310,Master's,4,0.6,1,10,0.81,1
311,PhD,39,0.58,3,8,0.7,0
312,Master's,35,0.61,8,0,0.69,0
313,Bachelor's,13,0.63,0,4,0.71,0
314,Master's,7,0.65,2,15,0.81,0
315,Bachelor's,23,0.93,7,13,0.94,0
316,Master's,37,0.93,9,13,0.74,1
317,Master's,39,0.81,5,4,0.66,0
318,Master's,13,0.74,7,7,0.74,0
319,PhD,0,0.61,10,0,0.6,1
320,Bachelor's,10,0.63,4,0,0.77,1
321,Bachelor's,18,0.95,4,15,0.99,1
322,Master's,38,0.64,3,3,0.89,1
323,PhD,17,0.96,1,5,0.9,0
324,PhD,32,0.53,10,15,0.92,0
325,Bachelor's,33,0.81,9,13,0.88,1
326,PhD,31,0.82,4,12,0.62,0
327,Bachelor's,20,0.62,10,4,0.92,1
328,PhD,10,0.55,10,0,0.84,1
329,PhD,31,0.66,8,7,0.65,1
330,Bachelor's,25,0.84,8,5,0.92,0
331,Bachelor's,23,0.89,5,11,0.66,0
332,Master's,38,0.89,9,1,0.83,0
333,PhD,31,0.88,6,10,0.81,1
334,Master's,23,0.9,7,14,0.82,1
335,PhD,13,0.63,7,0,0.76,1
336,Bachelor's,35,0.6,5,10,0.85,0
337,Bachelor's,33,0.66,7,0,0.79,1
338,Master's,9,0.62,10,11,0.76,0
339,PhD,40,0.85,2,8,0.94,0
340,Master's,7,0.86,0,12,0.75,1
341,Bachelor's,27,0.59,3,3,0.95,0
342,Master's,18,0.61,3,8,0.89,0
343,Bachelor's,25,0.52,1,15,0.79,1
344,Master's,23,1.0,0,0,0.92,0
345,Master's,19,0.7,9,6,0.91,1
346,Bachelor's,27,0.59,0,15,0.83,0
347,Master's,1,0.58,4,6,0.68,0
348,Bachelor's,31,0.77,9,0,0.98,1
349,Master's,16,0.61,9,12,0.74,0
350,Bachelor's,17,0.68,8,5,0.94,0
351,PhD,22,0.83,8,2,0.78,0
352,Bachelor's,13,0.78,8,12,0.88,0
353,Bachelor's,34,0.54,10,5,0.69,1
354,PhD,28,0.93,1,3,0.73,0
355,Master's,37,0.54,2,9,0.61,0
356,Bachelor's,20,0.74,4,13,0.66,1
357,Bachelor's,1,0.94,7,11,0.97,0
358,Master's,27,0.81,3,4,0.66,0
359,PhD,33,0.88,1,14,0.76,0
360,PhD,7,1.0,8,5,0.95,0
361,Bachelor's,14,0.75,3,9,0.84,0
362,Master's,21,0.96,1,14,0.89,0
363,Bachelor's,36,0.88,6,1,0.99,1
364,Bachelor's,10,0.58,2,12,0.73,1
365,PhD,10,0.89,3,14,0.85,0
366,PhD,0,0.57,1,13,0.85,0
367,Master's,31,0.9,6,14,0.7,0
368,Bachelor's,18,0.83,3,7,0.84,0
369,Master's,3,0.53,7,1,0.65,0
370,Master's,8,0.73,1,12,0.74,1
371,Master's,7,0.89,7,7,0.73,1
372,Bachelor's,0,0.77,8,10,0.83,1
373,Bachelor's,7,0.57,2,9,0.75,1
374,PhD,33,0.94,1,15,0.97,0
375,Master's,9,0.67,9,13,0.66,1
376,PhD,34,0.83,7,8,0.66,0
377,Master's,0,0.9,1,9,0.88,1
378,PhD,35,0.69,2,7,0.64,1
379,Master's,16,0.98,6,9,0.99,0
380,Bachelor's,10,0.71,5,9,0.71,1
381,Master's,21,0.79,3,14,0.98,0
382,Bachelor's,5,0.84,8,5,0.73,0
383,PhD,15,0.62,10,12,0.89,0
384,Master's,1,0.82,9,2,0.66,0
385,PhD,30,0.78,10,2,0.66,1
386,PhD,23,0.88,2,7,0.67,1
387,Master's,19,0.75,2,2,0.77,0
388,Bachelor's,0,0.9,7,7,0.99,1
389,Master's,25,0.55,7,0,0.69,1
390,Bachelor's,38,0.96,7,11,0.91,1
391,Bachelor's,14,0.94,6,5,0.62,0
392,Master's,6,0.94,10,11,0.75,0
393,Bachelor's,24,0.85,4,12,0.81,1
394,Bachelor's,9,0.52,3,11,0.93,1
395,Master's,31,0.8,7,2,0.82,0
396,Bachelor's,14,0.51,1,7,0.87,0
397,Master's,18,0.6,5,1,0.97,0
398,Master's,34,0.56,8,0,0.79,1
399,Bachelor's,38,0.96,4,5,0.94,0
400,Master's,7,0.78,6,9,0.8,1
401,Bachelor's,25,0.73,8,3,0.79,1
402,PhD,5,0.94,2,5,0.94,0
403,Master's,21,0.64,6,12,0.78,1
404,PhD,6,0.8,6,13,0.89,0
405,PhD,36,0.71,9,14,0.74,1
406,Bachelor's,1,0.91,10,4,0.96,1
407,Bachelor's,3,0.79,8,5,0.83,1
408,PhD,32,0.6,4,9,0.98,0
409,Master's,22,0.85,7,9,0.86,1
410,PhD,36,0.62,10,2,0.97,1
411,Master's,11,0.86,2,4,0.75,1
412,PhD,9,0.58,5,4,0.79,1
413,Master's,13,0.9,4,14,0.95,1
414,Bachelor's,10,0.96,7,5,0.78,0
415,Bachelor's,34,0.5,5,11,0.85,1
416,Bachelor's,26,0.67,8,5,0.76,1
417,Master's,28,0.55,4,12,0.79,0
418,PhD,27,0.7,6,10,0.91,1
419,Bachelor's,11,0.6,3,1,0.63,0
420,PhD,23,0.84,0,15,0.89,1
421,Bachelor's,18,0.56,5,1,0.61,0
422,Master's,24,0.95,4,8,0.97,1
423,Bachelor's,1,0.94,0,14,0.74,0
424,Bachelor's,4,0.93,3,7,0.7,1
425,Master's,4,0.61,4,14,0.65,1
426,Master's,23,0.67,3,14,0.98,0
427,PhD,29,0.62,5,12,0.65,0
428,Bachelor's,16,0.8,10,8,0.68,0
429,PhD,18,0.65,6,14,0.93,0
430,PhD,33,0.67,7,11,0.78,0
431,Master's,28,0.8,5,4,0.78,0
432,PhD,30,0.68,4,10,0.75,1
433,Master's,3,0.71,5,0,0.82,1
434,PhD,17,0.76,9,12,0.69,1
435,PhD,23,0.92,0,6,0.98,0
436,PhD,30,0.97,8,15,0.65,1
437,PhD,22,0.8,3,13,0.71,0
438,Master's,32,0.79,3,6,0.69,1
439,Bachelor's,22,0.63,7,4,0.83,1
440,PhD,13,0.92,1,6,0.88,0
441,Bachelor's,20,0.73,9,1,0.99,1
442,PhD,11,0.57,1,8,0.96,0
443,Master's,32,0.81,4,4,0.94,1
444,Bachelor's,30,0.52,7,3,0.99,0
445,Master's,34,0.64,4,10,0.65,0
446,Bachelor's,35,0.71,4,1,0.98,1
447,PhD,16,0.81,9,14,0.62,1
448,Bachelor's,24,0.85,10,3,0.83,1
449,Bachelor's,2,0.84,0,3,0.86,1
450,PhD,15,0.8,1,9,0.89,0
451,Bachelor's,7,0.98,7,8,0.64,1
452,Bachelor's,2,0.62,9,12,0.86,1
453,Bachelor's,12,0.68,0,5,0.97,0
454,Master's,27,0.62,10,3,0.77,1
455,Master's,40,0.71,1,8,0.86,1
456,Bachelor's,31,0.69,5,13,0.81,1
457,PhD,19,0.57,7,8,0.71,1
458,PhD,15,0.84,7,11,0.92,1
459,Bachelor's,38,0.69,3,7,0.97,1
460,Bachelor's,20,0.71,3,15,0.93,1
461,Bachelor's,36,0.94,4,11,0.66,1
462,Bachelor's,2,0.9,10,2,0.81,1
463,Bachelor's,22,0.51,3,2,1.0,1
464,Master's,18,0.96,5,6,0.78,1
465,Bachelor's,31,0.52,10,0,0.99,1
466,Bachelor's,5,0.98,10,9,0.75,1
467,PhD,12,0.58,1,8,0.99,0
468,PhD,27,0.7,10,14,0.81,1
469,Master's,29,0.55,10,4,0.9,0
470,PhD,27,0.63,4,0,0.84,0
471,Master's,28,0.67,9,9,0.83,0
472,PhD,27,0.72,3,2,0.67,1
473,PhD,28,0.67,9,7,0.8,0
474,Bachelor's,12,0.52,8,13,0.73,1
475,Master's,6,0.77,2,4,0.91,0
476,Bachelor's,18,0.77,9,11,0.65,1
477,Master's,18,0.82,6,11,0.82,0
478,Master's,29,0.97,9,11,0.81,1
479,Bachelor's,0,0.76,1,11,0.61,1
480,PhD,38,0.64,10,5,0.93,1
481,Master's,35,0.56,1,3,0.91,1
482,Bachelor's,10,0.78,10,7,0.61,1
483,Master's,8,0.98,1,15,0.92,0
484,PhD,38,0.89,8,11,0.72,0
485,PhD,26,0.66,5,2,0.8,1
486,PhD,32,0.87,5,9,0.69,1
487,Master's,31,0.58,3,9,0.78,1
488,Master's,33,0.71,3,8,0.78,0
489,Bachelor's,1,0.92,6,15,0.79,0
490,PhD,0,0.81,10,3,0.93,0
491,PhD,2,0.73,3,4,0.97,1
492,PhD,23,0.6,2,6,0.77,0
493,PhD,31,0.99,3,6,0.89,1
494,Master's,0,0.58,3,1,0.71,0
495,PhD,6,0.91,0,11,0.85,1
496,Bachelor's,21,0.75,9,6,0.67,1
497,PhD,33,0.76,3,8,0.97,1
498,PhD,36,0.6,7,5,0.69,0
499,Master's,18,0.91,0,9,0.69,0
500,Bachelor's,13,0.94,6,14,0.89,0
501,Bachelor's,14,0.54,8,12,0.86,0
502,Bachelor's,37,0.68,6,7,0.85,1
503,Bachelor's,30,0.69,5,12,0.99,0
504,PhD,15,0.76,10,11,0.63,0
505,Master's,3,0.51,3,8,0.99,1
506,PhD,27,0.62,6,12,0.79,1
507,Bachelor's,22,0.84,0,15,0.73,1
508,Bachelor's,13,0.55,0,7,0.77,1
509,PhD,37,0.68,0,6,0.98,0
510,Bachelor's,18,0.77,4,10,0.66,0
511,Master's,33,0.73,1,7,0.63,0
512,Bachelor's,15,0.72,4,0,0.93,0
513,Bachelor's,10,0.67,0,1,0.82,0
514,PhD,34,0.54,4,7,0.89,1
515,PhD,2,0.89,2,8,0.95,1
516,PhD,36,0.53,6,4,0.88,0
517,Bachelor's,2,0.54,4,13,0.96,1
518,Bachelor's,37,0.95,1,7,0.89,0
519,PhD,4,0.94,5,2,0.91,1
520,Bachelor's,22,0.71,5,10,0.88,0
521,Bachelor's,13,0.88,6,15,0.83,1
522,Master's,14,0.57,8,10,0.91,0
523,Bachelor's,2,0.93,7,2,0.83,0
524,Master's,19,0.87,0,9,0.82,1
525,PhD,26,0.62,6,13,0.72,0
526,Bachelor's,5,0.94,10,2,0.82,0
527,Master's,31,0.79,8,0,0.83,0
528,Master's,5,0.62,3,15,0.76,0
529,Bachelor's,40,0.55,0,7,0.66,0
530,PhD,11,0.69,8,3,0.85,0
531,PhD,3,0.54,10,12,0.98,0
532,PhD,32,0.72,5,5,0.8,1
533,Master's,0,0.72,4,7,0.68,1
534,PhD,27,0.82,10,11,0.84,1
535,Master's,36,0.72,0,14,0.95,0
536,PhD,9,0.61,9,14,0.9,1
537,Bachelor's,8,0.72,8,4,0.96,1
538,Bachelor's,32,0.84,2,2,0.64,1
539,Bachelor's,10,0.86,1,1,0.7,0
540,PhD,17,0.94,7,2,0.86,0
541,PhD,34,0.6,5,13,0.87,0
542,Bachelor's,1,0.94,0,15,0.83,0
543,PhD,23,0.82,4,13,0.76,0
544,PhD,35,0.89,4,15,0.76,0
545,Bachelor's,12,0.86,5,0,0.94,0
546,PhD,28,0.63,4,15,0.79,0
547,PhD,40,0.69,0,10,0.77,0
548,Bachelor's,19,0.52,3,11,0.61,1
549,Master's,34,0.91,4,9,0.71,1
550,Bachelor's,14,0.59,5,15,0.74,1
551,PhD,26,0.9,2,4,0.76,1
552,Bachelor's,20,0.84,1,8,0.71,0
553,PhD,7,0.83,9,11,0.94,0
554,Bachelor's,0,0.85,4,12,0.93,1
555,Bachelor's,28,0.69,5,4,0.94,0
556,PhD,16,0.57,0,3,0.68,0
557,Bachelor's,40,0.76,10,13,0.78,1
558,Master's,8,0.73,6,15,0.61,0
559,PhD,26,0.84,0,7,0.74,0
560,Master's,3,0.8,9,0,0.87,0
561,PhD,40,0.78,0,11,0.72,1
562,Master's,13,0.78,2,15,0.9,1
563,Bachelor's,2,0.74,9,15,0.86,1
564,Master's,37,0.75,0,9,0.8,1
565,Bachelor's,32,0.68,9,9,0.74,0
566,PhD,9,0.67,0,15,0.68,0
567,Bachelor's,21,0.74,6,1,0.88,1
568,PhD,19,0.71,5,6,0.93,1
569,Master's,40,0.65,10,6,0.79,0
570,Master's,2,0.59,1,1,0.84,1
571,Bachelor's,18,0.52,7,1,0.87,0
572,Bachelor's,17,0.75,8,4,0.66,0
573,Master's,34,0.86,7,5,0.84,0
574,Bachelor's,13,0.6,2,2,0.97,0
575,Master's,26,0.8,7,15,0.75,1
576,Master's,0,0.63,4,2,0.76,1
577,Bachelor's,31,0.96,1,11,0.6,1
578,Bachelor's,24,0.67,10,12,0.91,1
579,Master's,8,0.77,0,15,0.65,0
580,PhD,35,0.88,9,14,0.71,1
581,PhD,4,0.79,1,12,0.63,0
582,PhD,14,0.57,8,12,0.95,1
583,PhD,19,0.73,2,13,0.66,0
584,Master's,8,0.63,8,8,0.97,0
585,Bachelor's,24,0.8,2,3,0.91,0
586,PhD,12,0.57,5,12,0.78,0
587,Master's,1,0.84,4,6,0.69,0
588,Master's,27,0.66,1,10,0.66,1
589,Bachelor's,20,0.66,6,13,0.71,0
590,PhD,39,0.54,6,6,0.91,1
591,Master's,40,0.72,8,12,0.9,1
592,PhD,19,0.67,6,12,0.61,1
593,PhD,26,0.63,8,15,0.79,1
594,Master's,40,0.93,6,15,0.74,0
595,Bachelor's,1,0.77,3,6,0.76,1
596,PhD,19,0.96,9,4,1.0,1
597,Master's,14,0.74,1,2,0.95,1
598,Master's,10,0.8,8,13,0.7,1
599,Bachelor's,40,0.91,2,1,0.9,0
600,PhD,1,0.62,6,14,0.85,1
601,Bachelor's,10,0.99,6,4,0.92,1
